"ticker","quarter_ended","total_income","net_profit_loss","earnings_per_share"
"IEX","31-Mar-2025","17,459.48","11,711.27","1.32"
"HBLENGINE","31-Dec-2024","45,618.75","6,147.99","2.20"
"NEWGEN","31-Mar-2025","44,400.81","10,833.92","7.73"
"VENTIVE","31-Mar-2025","71,723.90","15,112.20","5.48"
"APTUS","31-Mar-2025","36,985.60","16,963.49","3.40"
"SOBHA","31-Dec-2024","1,28,269.20","2,754.50","2.73"
"ANANDRATHI","31-Mar-2025","24,139.03","7,373.51","8.87"
"BLS","31-Mar-2025","71,760.61","14,522.09","3.28"
"JUBLPHARMA","31-Mar-2025","23,520.00","1,360.00","0.86"
"WELSPUNLIV","31-Dec-2024","2,00,081.00","8,782.00","0.92"
"TTML","31-Dec-2024","33,373.00","-31,511.00","-1.61"
"NEULANDLAB","31-Mar-2025","33,582.38","2,773.39","21.62"
"INDIAMART","31-Mar-2025","48,390.00","23,130.00","38.55"
"PCBL","31-Mar-2025","2,10,726.00","10,019.00","2.65"
"ACE","31-Dec-2024","90,294.00","10,715.00","9.01"
"AKZOINDIA","31-Mar-2025","1,02,492.40","10,842.90","23.80"
"MANAPPURAM","31-Mar-2025","1,74,177.00","41,434.00","4.90"
"MGL","31-Mar-2025","2,08,541.00","25,219.00","25.53"
"KIRLOSBROS","31-Mar-2025","89,840.00","10,000.00","12.59"
"DOMS","31-Mar-2025","51,348.78","5,127.97","7.98"
"PGEL","31-Mar-2025","37,591.85","2,280.87","0.81"
"CLEAN","31-Dec-2024","23,615.30","7,410.90","6.97"
"FINEORG","31-Mar-2025","60,183.20","8,853.78","28.88"
"GRINFRA","31-Mar-2025","2,12,929.57","37,123.59","38.37"
"ZENTEC","31-Mar-2025","34,974.11","11,374.72","11.24"
"ACMESOLAR","31-Mar-2025","53,925.50","12,207.50","2.15"
"RITES","31-Mar-2025","63,895.00","14,133.00","2.76"
"REDINGTON","31-Mar-2025","13,13,714.00","20,945.00","2.68"
"SAILIFE","31-Mar-2025","58,910.60","8,826.90","4.24"
"KSB","31-Mar-2025","60,790.00","4,900.00","2.82"
"UTIAMC","31-Mar-2025","31,830.00","12,402.00","9.69"
"SANOFI","31-Mar-2025","53,920.00","11,950.00","51.89"
"SPLPETRO","31-Mar-2025","1,55,771.38","10,688.74","5.68"
"DATAPATTNS","31-Mar-2025","40,683.00","11,408.00","20.38"
"NSLNISP","31-Dec-2024","2,13,788.00","-75,778.00","-2.59"
"INDGN","31-Mar-2025","30,190.00","5,420.00","2.26"
"GODREJAGRO","31-Mar-2025","2,14,659.00","6,610.00","3.68"
"PVRINOX","31-Mar-2025","1,23,330.00","-12,280.00","-12.51"
"RPOWER","31-Mar-2025","2,06,564.00","12,557.00","0.31"
"NIVABUPA","31-Mar-2025","1,56,473.00","20,608.00","1.13"
"NETWEB","31-Mar-2025","41,714.90","4,299.40","7.57"
"EIDPARRY","31-Dec-2024","86,283.00","-14,626.00","-8.23"
"CAPLIPOINT","31-Mar-2025","52,819.00","14,528.00","18.75"
"GRAVITA","31-Mar-2025","1,07,282.00","9,492.00","13.04"
"RAILTEL","31-Mar-2025","1,32,868.00","11,345.00","3.53"
"VTL","31-Mar-2025","2,62,854.00","23,788.00","8.35"
"ECLERX","31-Mar-2025","66,913.00","10,828.30","23.04"
"GRANULES","31-Dec-2024","84,780.30","9,011.10","3.72"
"SWSOLAR","31-Mar-2025","2,50,645.00","5,501.00","2.37"
"RAINBOW","31-Dec-2024","39,441.30","6,697.50","6.60"
"NAVA","31-Mar-2025","52,834.19","9,712.45","3.37"
"ELECON","31-Mar-2025","72,889.00","12,548.00","5.59"
"GPIL","31-Dec-2024","1,11,776.00","13,575.00","2.10"
"SARDAEN","31-Dec-2024","1,05,314.00","18,922.00","5.37"
"PRAJIND","31-Mar-2025","71,653.30","5,899.30","3.21"
"AAVAS","31-Mar-2025","63,748.80","15,367.92","19.42"
"DEEPAKFERT","31-Dec-2024","55,337.00","6,692.00","5.30"
"INGERRAND","31-Dec-2024","38,950.00","7,766.00","24.60"
"RAYMONDLSL","31-Mar-2025","1,57,977.00","-4,495.00","-7.38"
"OLECTRA","31-Dec-2024","50,857.17","4,630.57","5.64"
"ZYDUSWELL","31-Mar-2025","91,390.00","17,190.00","27.01"
"HONASA","31-Dec-2024","48,899.38","2,157.86","0.68"
"MMTC","31-Dec-2024","3,531.00","366.00","0.02"
"CRAFTSMAN","31-Mar-2025","1,75,448.00","6,676.00","27.99"
"IWEL","31-Dec-2024","321.00","-66.00","-0.55"
"ZEEL","31-Mar-2025","2,22,030.00","18,840.00","1.96"
"WESTLIFE","31-Mar-2025","61,309.60","152.25","0.10"
"LTFOODS","31-Mar-2025","97,826.74","3,809.53","1.10"
"JPPOWER","31-Mar-2025","1,36,667.00","15,567.00","0.15"
"MINDACORP","31-Dec-2024","1,04,708.00","5,785.00","2.42"
"CUB","31-Mar-2025","1,78,394.15","28,796.34","3.89"
"INTELLECT","31-Mar-2025","74,854.80","13,640.30","9.82"
"NUVOCO","31-Mar-2025","2,53,678.00","11,553.00","3.23"
"RAYMOND","31-Mar-2025","60,140.00","13,747.00","3.00"
"CHENNPETRO","31-Mar-2025","20,59,300.00","46,993.00","31.56"
"AKUMS","31-Dec-2024","37,124.90","4,116.80","2.69"
"VOLTAMP","31-Mar-2025","64,181.84","9,682.55","95.70"
"TARIL","31-Mar-2025","68,342.00","9,419.00","3.17"
"TTKPRESTIG","31-Dec-2024","68,383.00","5,429.00","3.96"
"GENUSPOWER","31-Dec-2024","61,705.65","6,821.12","2.24"
"ALOKINDS","31-Mar-2025","1,03,810.00","-7,447.00","-0.15"
"RBLBANK","31-Mar-2025","4,47,560.00","6,870.00","1.13"
"ENGINERSIN","31-Dec-2024","78,720.77","8,810.38","1.57"
"RHIM","31-Dec-2024","77,712.35","5,617.49","2.72"
"MARKSANS","31-Mar-2025","30,717.40","3,759.10","0.83"
"HAPPSTMNDS","31-Mar-2025","45,408.00","5,776.00","5.74"
"TEGA","31-Mar-2025","54,278.30","10,190.90","15.32"
"AETHER","31-Dec-2024","21,144.50","4,085.20","3.08"
"JMFINANCIL","31-Mar-2025","1,02,721.00","23,502.00","2.19"
"SAFARI","31-Mar-2025","42,944.00","3,348.00","6.84"
"CEATLTD","31-Mar-2025","3,41,792.00","10,038.00","24.82"
"SCI","31-Mar-2025","1,39,948.00","17,217.00","3.70"
"GMDCLTD","31-Mar-2025","90,433.00","22,622.00","7.12"
"MAHSCOOTER","31-Mar-2025","675.00","5,163.00","45.20"
"USHAMART","31-Mar-2025","91,973.00","10,091.00","3.32"
"TANLA","31-Mar-2025","1,03,531.87","11,733.35","8.74"
"STAR","31-Dec-2024","55,334.50","1,493.80","1.62"
"ELECTCAST","31-Mar-2025","1,60,071.32","19,074.95","3.09"
"SANOFICONR","31-Mar-2025","17,780.00","5,000.00","21.69"
"CANFINHOME","31-Mar-2025","99,964.85","23,391.50","17.57"
"BALRAMCHIN","31-Mar-2025","1,51,316.01","22,912.21","11.35"
"JUBLINGREA","31-Mar-2025","1,05,962.00","7,405.00","4.69"
"EUREKAFORB","31-Mar-2025","61,684.82","5,075.18","2.62"
"JSWHL","31-Dec-2024","2,921.93","1,940.49","17.49"
"MAPMYINDIA","31-Mar-2025","14,061.00","4,887.00","8.98"
"INDIACEM","31-Mar-2025","1,22,361.00","1,468.00","0.69"
"KPIGREEN","31-Mar-2025","57,780.19","10,418.08","5.04"
"REDTAPE","31-Dec-2024","67,066.00","7,407.00","5.36"
"HAPPYFORGE","31-Mar-2025","36,211.61","6,776.84","7.19"
"METROPOLIS","31-Mar-2025","31,954.84","2,385.06","4.65"
"JKTYRE","31-Dec-2024","2,51,408.00","4,636.00","1.69"
"INOXINDIA","31-Mar-2025","38,127.80","6,513.22","7.18"
"CERA","31-Mar-2025","59,568.77","8,627.29","66.39"
"ALKYLAMINE","31-Mar-2025","39,537.00","4,602.00","9.00"
"VESUVIUS","31-Mar-2025","49,198.00","5,931.00","29.22"
"QUESS","31-Mar-2025","3,38,393.00","-8,126.00","-5.46"
"PRUDENT","31-Mar-2025","29,152.22","5,173.71","12.49"
"BAJAJELEC","31-Mar-2025","1,28,165.00","5,905.00","5.12"
"GRAPHITE","31-Mar-2025","72,300.00","4,900.00","2.57"
"PNCINFRA","31-Dec-2024","1,22,099.32","8,264.72","3.22"
"LEMONTREE","31-Dec-2024","10,446.57","2,849.93","0.36"
"SAPPHIRE","31-Mar-2025","61,733.80","-366.20","-0.11"
"NETWORK18","31-Mar-2025","52,376.00","-6,948.00","-0.45"
"ISGEC","31-Dec-2024","1,12,776.00","5,866.00","7.98"
"GALAXYSURF","31-Mar-2025","1,15,268.00","7,587.00","21.40"
"RCF","31-Dec-2024","4,560.52","79.65","1.44"
"RTNINDIA","31-Dec-2024","526.80","-15,822.90","-1.15"
"SYMPHONY","31-Mar-2025","49,900.00","7,900.00","11.39"
"PURVA","31-Dec-2024","20,199.00","-8,249.00","-3.48"
"GPPL","31-Dec-2024","28,164.00","9,398.60","1.94"
"BIRLACORPN","31-Mar-2025","1,62,433.00","15,432.00","20.04"
"SAREGAMA","31-Mar-2025","25,847.00","5,986.00","3.11"
"DBREALTY","31-Dec-2024","851.70","-353.05","-0.07"
"BECTORFOOD","31-Dec-2024","46,231.80","2,735.90","4.46"
"ARVIND","31-Mar-2025","2,02,696.00","9,301.00","3.55"
"THOMASCOOK","31-Mar-2025","2,02,200.00","6,601.00","1.39"
"SFL","31-Mar-2025","71,067.00","1,218.00","1.12"
"RELINFRA","31-Dec-2024","6,613.00","-3,20,258.00","-2.38"
"LATENTVIEW","31-Mar-2025","25,329.50","5,125.70","2.59"
"EDELWEISS","31-Mar-2025","11,143.00","-165.00","-0.02"
"HOMEFIRST","31-Mar-2025","41,619.10","10,469.20","11.65"
"PNGJL","31-Mar-2025","1,60,314.90","6,199.10","4.57"
"FORCEMOT","31-Mar-2025","2,37,402.00","42,964.00","326.07"
"JUSTDIAL","31-Mar-2025","39,785.00","15,760.00","18.53"
"ROUTE","31-Mar-2025","1,18,711.00","6,028.00","8.98"
"HGINFRA","31-Dec-2024","1,51,092.70","13,656.40","20.95"
"IONEXCHANG","31-Dec-2024","66,069.00","5,333.00","4.34"
"RENUKA","31-Mar-2025","2,75,260.00","9,310.00","0.43"
"VIJAYA","31-Mar-2025","16,553.33","3,311.86","3.23"
"SAMMAANCAP","31-Mar-2025","1,90,514.00","29,364.00","3.80"
"JKLAKSHMI","31-Dec-2024","1,38,393.00","5,964.00","5.07"
"AZAD","31-Dec-2024","12,404.70","2,429.10","4.11"
"ESABINDIA","31-Dec-2024","34,075.00","4,038.00","26.24"
"GNFC","31-Dec-2024","2,05,600.00","15,800.00","10.75"
"TIPSMUSIC","31-Mar-2025","8,315.13","3,061.13","-"
"WABAG","31-Dec-2024","69,220.00","6,420.00","10.32"
"TRIVENI","31-Dec-2024","1,56,616.00","5,669.00","2.59"
"KNRCON","31-Dec-2024","86,002.47","18,219.44","6.48"
"IIFLCAPS","31-Mar-2025","42,078.17","6,607.17","2.13"
"ABDL","31-Mar-2025","1,94,899.69","7,862.20","2.81"
"POWERMECH","31-Dec-2024","1,11,268.00","7,116.00","22.51"
"CHOICEIN","31-Mar-2025","575.77","123.47","0.06"
"KIRLPNU","31-Mar-2025","59,722.00","8,008.00","12.35"
"AURIONPRO","31-Mar-2025","33,119.97","5,050.53","9.37"
"CCL","31-Mar-2025","45,580.24","3,015.49","2.26"
"SHAKTIPUMP","31-Mar-2025","66,976.00","11,023.00","9.17"
"SBFC","31-Mar-2025","36,089.30","9,394.30","0.87"
"PRSMJOHNSN","31-Mar-2025","2,11,519.00","12,101.00","2.57"
"JLHL","31-Mar-2025","28,086.50","4,444.70","6.78"
"TEXRAIL","31-Mar-2025","1,18,052.88","3,641.85","0.91"
"CAMPUS","31-Dec-2024","51,850.00","4,647.00","1.52"
"ITDCEM","31-Mar-2025","2,48,942.12","11,391.45","6.61"
"SHRIPISTON","31-Mar-2025","87,864.00","13,850.00","31.44"
"TIMETECHNO","31-Dec-2024","61,236.00","3,806.00","1.68"
"SENCO","31-Dec-2024","2,03,543.20","3,324.30","2.12"
"MASTEK","31-Mar-2025","90,900.00","8,107.00","26.24"
"LLOYDSENGG","31-Mar-2025","18,349.71","1,687.70","0.14"
"BBOX","31-Dec-2024","8,855.00","146.00","0.09"
"RATEGAIN","31-Dec-2024","7,189.20","1,782.30","1.51"
"GSFC","31-Dec-2024","2,81,067.00","11,947.00","3.00"
"CMSINFO","31-Mar-2025","58,282.30","8,388.80","5.10"
"RUSTOMJEE","31-Mar-2025","38,700.00","5,495.00","4.36"
"MAXESTATES","31-Dec-2024","3,918.34","1,680.68","1.17"
"VARROC","31-Dec-2024","1,87,902.50","4,549.50","2.98"
"PGHL","31-Dec-2024","31,373.00","9,090.00","54.76"
"MAHSEAMLES","31-Dec-2024","1,40,954.00","19,017.00","14.19"
"HEG","31-Mar-2025","58,021.00","-6,168.00","-3.20"
"RELIGARE","31-Dec-2024","534.37","-1,337.22","-0.41"
"AVANTIFEED","31-Dec-2024","1,07,667.33","12,711.17","9.33"
"ACI","31-Mar-2025","35,338.25","5,374.53","4.33"
"EQUITASBNK","31-Mar-2025","1,86,941.57","4,210.77","0.37"
"SYRMA","31-Mar-2025","48,379.20","3,218.60","1.81"
"STARCEMENT","31-Dec-2024","45,420.10","-4,430.85","-1.10"
"BLUEJET","31-Mar-2025","35,267.00","11,009.50","6.35"
"ASKAUTOLTD","31-Mar-2025","74,447.00","4,664.00","2.37"
"GRWRHITECH","31-Mar-2025","56,486.00","7,780.00","33.49"
"SANSERA","31-Dec-2024","65,058.00","4,508.90","7.45"
"FDC","31-Dec-2024","47,750.68","3,644.74","2.24"
"JUNIPER","31-Dec-2024","22,680.83","3,034.00","1.36"
"MEDPLUS","31-Dec-2024","17,898.20","936.90","0.78"
"GALLANTT","31-Dec-2024","1,11,908.53","11,367.32","4.71"
"KTKBANK","31-Mar-2025","2,68,669.00","25,237.00","6.68"
"MAHLIFE","31-Mar-2025","10,431.00","2,796.00","1.80"
"TCI","31-Mar-2025","1,02,070.00","9,050.00","11.73"
"TVSSCS","31-Dec-2024","50,690.00","1,090.00","0.25"
"GANESHHOUC","31-Mar-2025","3,898.88","1,053.85","1.26"
"ANURAS","31-Dec-2024","20,919.44","1,913.56","1.74"
"SUNTECK","31-Mar-2025","21,783.62","5,038.82","3.44"
"EMBDL","31-Dec-2024","514.00","-1,526.00","-0.24"
"RTNPOWER","31-Mar-2025","1,03,764.00","12,443.00","0.23"
"MHRIL","31-Mar-2025","39,799.95","5,749.38","2.85"
"RAJESHEXPO","31-Dec-2024","2,63,215.50","660.40","0.22"
"GARFIBRES","31-Mar-2025","38,350.95","5,131.02","5.17"
"EPIGRAL","31-Mar-2025","63,103.00","8,662.00","20.08"
"JKPAPER","31-Mar-2025","1,45,534.00","7,409.00","4.37"
"SHOPERSTOP","31-Mar-2025","1,03,973.00","247.00","0.22"
"INFIBEAM","31-Dec-2024","1,01,581.00","4,530.00","0.16"
"EPL","31-Mar-2025","34,600.00","6,370.00","1.99"
"MOIL","31-Mar-2025","45,820.50","11,565.09","5.68"
"ASTRAMICRO","31-Dec-2024","25,902.19","3,861.66","4.07"
"CHEMPLASTS","31-Mar-2025","73,323.00","-2,521.00","-1.59"
"SANDUMA","31-Dec-2024","49,867.00","12,675.00","7.82"
"AHLUCONT","31-Dec-2024","96,681.82","4,938.65","7.37"
"EMIL","31-Dec-2024","1,88,728.80","3,156.10","0.82"
"DIACABS","31-Dec-2024","30,758.21","642.20","0.12"
"TV18BRDCST","30-Jun-2024","39,768.00","697.00","0.04"
"UJJIVANSFB","31-Mar-2025","1,84,304.85","8,338.50","0.43"
"SHILPAMED","31-Dec-2024","14,221.24","1,612.02","1.65"
"INDIASHLTR","31-Mar-2025","32,711.53","10,791.68","10.01"
"PARADEEP","31-Mar-2025","3,53,615.00","16,003.00","1.96"
"ETHOSLTD","31-Mar-2025","69,340.99","5,394.67","22.04"
"ICIL","31-Dec-2024","1,02,834.36","6,692.61","3.37"
"VMART","31-Mar-2025","78,241.00","1,851.00","9.35"
"LXCHEM","31-Dec-2024","77,770.10","4,300.00","1.56"
"WELENT","31-Mar-2025","1,07,595.00","10,549.00","7.35"
"HCC","31-Mar-2025","1,35,834.00","22,838.00","1.26"
"DBL","31-Mar-2025","3,14,575.97","27,662.37","18.92"
"MIDHANI","31-Dec-2024","24,497.90","2,526.65","1.35"
"PDSL","31-Mar-2025","14,627.94","1,541.50","1.09"
"MANINFRA","31-Dec-2024","11,665.55","3,914.69","1.05"
"IFBIND","31-Dec-2024","1,23,183.00","3,436.00","8.48"
"TRANSRAILL","31-Dec-2024","1,36,732.00","9,757.00","7.83"
"DHANUKA","31-Mar-2025","45,317.88","7,550.23","16.74"
"TMB","31-Mar-2025","1,54,206.00","29,190.00","18.44"
"ORCHPHARMA","31-Dec-2024","22,727.97","2,390.63","4.71"
"NAZARA","31-Dec-2024","2,234.00","164.00","0.21"
"RESPONIND","31-Mar-2025","15,297.90","544.28","0.20"
"EMUDHRA","31-Mar-2025","6,412.90","705.50","0.85"
"ARVINDFASN","31-Mar-2025","1,20,039.00","-7,249.00","-6.97"
"DODLA","31-Mar-2025","93,541.50","6,796.50","11.27"
"SUNDARMHLD","31-Dec-2024","1,804.74","1,155.84","0.52"
"BALUFORGE","31-Mar-2025","27,381.24","6,268.84","5.74"
"TIIL","31-Dec-2024","55,556.97","5,006.70","22.12"
"INDIGOPNTS","31-Dec-2024","33,043.76","3,645.96","7.66"
"SUPRAJIT","31-Dec-2024","47,296.60","6,078.40","4.43"
"BALAMINES","31-Dec-2024","30,467.88","3,568.85","11.01"
"GREENLAM","31-Dec-2024","53,736.00","1,946.00","1.53"
"SPARC","31-Dec-2024","1,510.00","-7,971.00","-2.46"
"JINDWORLD","31-Dec-2024","58,615.96","1,820.02","0.91"
"SUDARSCHEM","31-Dec-2024","57,921.60","1,623.90","2.30"
"UNIMECH","31-Dec-2024","1,430.31","591.17","1.28"
"GABRIEL","31-Dec-2024","93,354.50","5,396.60","3.76"
"ASHOKA","31-Dec-2024","1,81,573.66","6,056.22","2.16"
"VIPIND","31-Mar-2025","49,513.00","-3,051.00","-2.14"
"SURYAROSNI","31-Mar-2025","2,15,467.00","13,006.00","5.98"
"BLACKBUCK","31-Dec-2024","12,164.10","-4,821.10","-2.81"
"KRBL","31-Mar-2025","1,45,362.00","15,421.00","6.74"
"GOKEX","31-Dec-2024","65,073.56","4,941.20","6.91"
"SHARDAMOTR","31-Dec-2024","71,087.36","7,472.02","26.04"
"AMIORG","31-Mar-2025","30,985.56","6,284.68","7.84"
"NESCO","31-Mar-2025","21,155.90","8,861.47","12.58"
"KESORAMIND","31-Mar-2025","900.00","5,63,853.00","-4.81"
"HNDFDS","31-Mar-2025","70,302.00","2,665.00","2.27"
"ORIENTCEM","31-Mar-2025","83,284.11","4,207.00","2.05"
"SOUTHBANK","31-Mar-2025","2,94,581.00","34,219.00","1.31"
"TARC","31-Dec-2024","2,238.21","-626.04","-0.21"
"BORORENEW","31-Mar-2025","38,544.64","-2,952.89","-1.53"
"TDPOWERSYS","31-Mar-2025","38,625.62","4,396.01","2.81"
"EASEMYTRIP","31-Dec-2024","11,052.50","3,351.70","0.10"
"NIITMTS","31-Mar-2025","15,080.40","2,262.40","1.66"
"BANSALWIRE","31-Dec-2024","93,186.50","3,577.00","2.28"
"RALLIS","31-Mar-2025","44,100.00","-3,200.00","-1.67"
"PRIVISCL","31-Mar-2025","62,836.88","6,397.92","17.03"
"CEIGALL","31-Mar-2025","1,01,226.10","6,964.90","4.00"
"JAICORPLTD","31-Dec-2024","12,915.00","1,174.00","0.67"
"VSTIND","31-Mar-2025","46,381.00","5,300.00","3.13"
"NFL","31-Dec-2024","5,88,393.00","3,090.00","0.63"
"STLTECH","31-Mar-2025","59,400.00","-2,500.00","-0.18"
"ICRA","31-Dec-2024","9,038.44","3,110.05","32.33"
"PILANIINVS","31-Dec-2024","6,158.06","2,676.24","24.17"
"ROLEXRINGS","31-Dec-2024","26,373.40","2,018.70","7.41"
"AVL","31-Mar-2025","48,913.00","1,598.00","1.24"
"GOCOLORS","31-Mar-2025","21,145.85","1,989.19","3.68"
"UEL","31-Dec-2024","1,187.98","393.27","0.37"
"GULFOILLUB","31-Dec-2024","93,826.23","9,816.79","19.94"
"LUXIND","31-Dec-2024","55,730.00","3,264.00","10.85"
"PCJEWELLER","31-Dec-2024","68,288.00","14,621.00","0.28"
"GMMPFAUDLR","31-Dec-2024","23,847.00","1,174.00","2.61"
"GAEL","31-Mar-2025","1,29,154.00","3,187.00","0.70"
"SHAREINDIA","31-Dec-2024","26,574.54","5,998.20","2.67"
"IXIGO","31-Mar-2025","28,738.30","2,011.90","0.51"
"AGI","31-Mar-2025","74,206.00","9,661.00","14.93"
"LLOYDSENT","31-Mar-2025","24,234.64","182.52","0.01"
"PRINCEPIPE","31-Dec-2024","57,924.65","-2,042.38","-1.85"
"PRICOLLTD","31-Mar-2025","62,701.03","2,798.07","2.30"
"GHCL","31-Mar-2025","80,481.00","15,027.00","15.72"
"ALLCARGO","31-Dec-2024","65,014.00","3,582.00","0.36"
"JKIL","31-Dec-2024","1,49,358.47","9,972.89","13.18"
"ITDC","31-Dec-2024","15,514.42","2,100.12","2.46"
"TI","31-Mar-2025","88,963.01","7,734.79","4.01"
"HCG","31-Dec-2024","31,780.00","-3,733.00","-2.68"
"DBCORP","31-Mar-2025","56,677.00","5,237.20","2.94"
"SIS","31-Mar-2025","1,27,841.90","1,470.60","1.02"
"GUJALKALI","31-Mar-2025","1,09,990.00","882.00","1.20"
"RSYSTEMS","31-Mar-2025","24,731.50","3,466.40","2.93"
"PTC","31-Dec-2024","3,26,881.00","11,059.00","3.74"
"ENTERO","31-Dec-2024","12,866.25","1,078.42","2.48"
"SHARDACROP","31-Mar-2025","1,67,968.40","18,306.41","20.29"
"INOXGREEN","31-Dec-2024","7,185.00","1,216.00","0.32"
"AARTIPHARM","31-Mar-2025","56,216.95","8,834.08","9.75"
"RAIN","31-Mar-2025","3,811.20","-266.00","-0.08"
"CSBBANK","31-Mar-2025","1,36,236.00","19,044.00","10.98"
"CYIENTDLM","31-Mar-2025","34,379.40","3,489.80","4.40"
"THANGAMAYL","31-Mar-2025","1,38,073.00","3,140.00","10.18"
"BANCOINDIA","31-Mar-2025","89,344.00","15,350.00","10.73"
"JSFB","31-Mar-2025","1,43,316.00","12,348.00","11.76"
"JCHAC","31-Dec-2024","43,604.00","-334.00","-1.20"
"HEMIPROP","31-Dec-2024","183.06","-232.39","-0.08"
"MTARTECH","31-Dec-2024","17,774.70","1,633.10","5.31"
"NPST","No Records",,,
"ORIENTELEC","31-Mar-2025","86,534.00","3,126.00","1.46"
"MANORAMA","31-Mar-2025","24,186.50","4,226.67","7.09"
"MSTCLTD","31-Dec-2024","9,620.20","25,242.89","35.86"
"PAISALO","31-Mar-2025","19,377.19","4,628.51","0.51"
"KIRLOSIND","31-Dec-2024","1,393.00","658.00","6.39"
"OPTIEMUS","31-Dec-2024","14,628.85","494.92","0.57"
"ANUP","31-Mar-2025","22,238.90","3,153.54","15.75"
"EIEL","31-Dec-2024","25,248.63","3,630.16","2.57"
"BBL","31-Mar-2025","63,258.00","5,031.00","44.51"
"DYNAMATECH","31-Dec-2024","15,009.00","1,021.00","15.04"
"MASFIN","31-Mar-2025","43,911.00","8,341.00","4.55"
"HEIDELBERG","31-Dec-2024","55,218.00","519.00","0.23"
"ZAGGLE","31-Mar-2025","42,417.50","3,196.40","2.38"
"HERITGFOOD","31-Mar-2025","1,04,064.70","2,051.00","2.21"
"VAIBHAVGBL","31-Dec-2024","22,045.08","3,657.33","2.21"
"KSCL","31-Dec-2024","16,673.71","1,504.37","2.92"
"TEAMLEASE","31-Dec-2024","2,69,880.00","2,623.00","15.64"
"CARTRADE","31-Mar-2025","7,547.28","2,144.07","4.52"
"RBA","31-Mar-2025","49,677.20","-2,542.40","-0.51"
"NEOGEN","31-Mar-2025","20,341.00","241.00","0.91"
"SKIPPER","31-Mar-2025","1,29,681.70","4,438.90","3.93"
"GANECOS","31-Dec-2024","27,717.04","1,957.16","7.72"
"VRLLOG","31-Dec-2024","83,090.07","5,942.34","6.79"
"AWFIS","31-Dec-2024","33,017.60","1,454.30","2.06"
"BOROLTD","31-Mar-2025","27,249.39","1,114.51","0.93"
"GOPAL","31-Dec-2024","39,430.00","531.90","0.43"
"UTKARSHBNK","31-Mar-2025","1,16,673.00","297.00","0.03"
"REFEX","31-Mar-2025","64,388.39","4,792.17","3.71"
"E2E","31-Mar-2025","5,891.21","1,361.23","8.11"
"WONDERLA","31-Mar-2025","10,758.88","1,100.98","1.74"
"ADVENZYMES","31-Mar-2025","17,592.40","2,672.80","2.37"
"BHARATRAS","31-Dec-2024","26,358.00","2,969.00","71.45"
"SHAILY","31-Mar-2025","21,795.44","2,858.94","6.22"
"BAJAJHIND","31-Dec-2024","1,46,785.00","-9,934.00","-0.80"
"UNICHEMLAB","31-Dec-2024","46,676.00","4,689.00","6.66"
"ORISSAMINE","31-Dec-2024","2,116.33","-749.33","-12.49"
"PATELENG","31-Mar-2025","1,63,728.30","3,816.50","0.43"
"YATHARTH","31-Dec-2024","11,356.50","2,225.30","2.60"
"HARSHA","31-Mar-2025","30,149.00","-6,696.00","-7.35"
"NOCIL","31-Mar-2025","34,509.00","2,038.00","1.22"
"GATEWAY","31-Dec-2024","39,034.77","5,680.87","1.14"
"ROSSARI","31-Mar-2025","42,904.90","3,236.40","5.85"
"JAMNAAUTO","31-Dec-2024","54,812.12","5,428.94","1.36"
"SUPRIYA","31-Dec-2024","18,774.55","4,678.26","5.82"
"AARTIDRUGS","31-Mar-2025","62,467.00","6,148.00","6.74"
"WEBELSOLAR","31-Mar-2025","17,405.00","4,827.00","11.44"
"JISLJALEQS","31-Dec-2024","80,255.00","1,060.00","0.16"
"THYROCARE","31-Mar-2025","19,175.00","2,157.00","4.17"
"PITTIENG","31-Mar-2025","47,230.03","3,613.71","9.61"
"PGIL","31-Dec-2024","24,758.29","419.31","-"
"RAMKY","31-Dec-2024","45,806.70","7,184.60","10.38"
"JTEKTINDIA","31-Dec-2024","59,351.65","1,625.87","0.64"
"STYRENIX","31-Dec-2024","69,216.00","4,770.00","27.12"
"HIKAL","31-Mar-2025","55,290.00","5,020.00","4.07"
"UFLEX","31-Mar-2025","2,01,168.00","7,121.00","9.86"
"PARAS","31-Mar-2025","11,228.00","2,083.00","4.89"
"GREENPANEL","31-Dec-2024","36,599.42","850.41","0.69"
"SHANTIGEAR","31-Mar-2025","15,722.00","2,246.00","2.93"
"SUBROS","31-Dec-2024","82,577.00","3,284.00","5.03"
"BOMDYEING","31-Mar-2025","39,547.00","1,148.00","0.62"
"EMSLIMITED","31-Dec-2024","24,498.43","5,018.56","9.04"
"INNOVACAP","31-Dec-2024","25,201.90","2,440.20","4.26"
"MOBIKWIK","31-Dec-2024","27,494.60","-5,237.20","-8.98"
"SUNCLAY","31-Mar-2025","52,702.00","20,948.00","99.27"
"JAYNECOIND","31-Mar-2025","1,67,793.00","10,164.00","1.05"
"GREENPLY","31-Mar-2025","65,487.76","1,660.35","1.33"
"BALMLAWRIE","31-Mar-2025","62,579.54","7,351.49","4.39"
"IMAGICAA","31-Dec-2024","9,320.58","321.71","0.06"
"SEQUENT","31-Dec-2024","4,815.00","281.00","0.11"
"ORIANA","30-SEP-2024","-","5,207.83","-"
"BANARISUG","31-Dec-2024","42,284.64","2,881.08","22.98"
"SAMHI","31-Dec-2024","4,060.30","25.80","0.01"
"FEDFINA","31-Mar-2025","53,747.00","7,165.00","1.92"
